Event,Date,Page Source
Submission of bill-of-lading (US origin),20 days following date of loading,33
Submission of bill-of-lading (non-US origin),30 working days following date of loading,33
Notification of subcontract award,10 working days after award,6
Submission of electronic subcontractor payment reports,10th working day after month end,10
Submission of manual subcontractor payment reports,10th working day after month end,10
Notice period for termination for convenience,30 days,10
Submission of claim for additional costs after termination,60 days after effective termination date,11
Appeal period for Director's dispute decision,30 calendar days,22
Monthly Subcontractor Payment Report Submission,tenth working day after month end,111
Subcontractor Payment Deadline (from State payment or invoice receipt),seven days,111
