Severity,Category,Is Mandatory,Requirement,Page Source,My Notes
Critical,Legal,Yes,"The contractor shall comply with the requirements of 29 CFR part 3, which are incorporated by reference in this contract as provided in 29 CFR 5.5.",24,
Critical,Management,Yes,The prime contractor is responsible for the compliance by any subcontractor or lower tier subcontractor with all the contract clauses in this section.,24,
Critical,Legal,Yes,"All rulings and interpretations of the DavisBacon and Related Acts contained in 29 CFR parts 1, 3, and 5 are herein incorporated by reference in this contract as provided in 29 CFR 5.5.",24,
Critical,Legal,Yes,"By entering into this contract, the contractor certifies that neither it nor any person or firm who has an interest in the contractor's firm is a person or firm ineligible to be awarded Government contracts by virtue of 40 U.S.C. 3144(b) or § 5.12(a).",24,
Critical,Legal,Yes,No part of this contract shall be subcontracted to any person or firm ineligible for award of a Government contract by virtue of 40 U.S.C. 3144(b) or § 5.12(a).,24,
Critical,Legal,Yes,"It is unlawful for any person to discharge, demote, intimidate, threaten, restrain, coerce, blacklist, harass, or in any other manner discriminate against, or to cause any person to discharge, demote, intimidate, threaten, restrain, coerce, blacklist, harass, or in any other manner discriminate against, any worker or job applicant for: a. Notifying any contractor of any conduct which the worker reasonably believes constitutes a violation of the DBA, Related Acts, this part, or 29 CFR part 1 or 3; b. Filing any complaint, initiating or causing to be initiated any proceeding, or otherwise asserting or seeking to assert on behalf of themselves or others any right or protection under the DBA, Related Acts, this part, or 29 CFR part 1 or 3; c. Cooperating in any investigation or other compliance action, or testifying in any proceeding under the DBA, Related Acts, this part, or 29 CFR part 1 or 3; or d. Informing any other person about their rights under the DBA, Related Acts, this part, or 29 CFR part 1 or 3.",24,
Critical,Legal,Yes,No contractor or subcontractor contracting for any part of the contract work which may require or involve the employment of laborers or mechanics shall require or permit any such laborer or mechanic in any workweek in which he or she is employed on such work to work in excess of forty hours in such workweek unless such laborer or mechanic receives compensation at a rate not less than one and one-half times the basic rate of pay for all hours worked in excess of forty hours in such workweek.,25,
Critical,Financial,Yes,"The FHWA or the contracting agency may, upon its own action, or must, upon written request of an authorized representative of the Department of Labor, withhold or cause to be withheld from the contractor so much of the accrued payments or advances as may be considered necessary to satisfy the liabilities of the prime contractor or any subcontractor for any unpaid wages; monetary relief, including interest; and liquidated damages required by the clauses set forth in this section on this contract, any other Federal contract with the same prime contractor, or any other federally assisted contract subject to the Contract Work Hours and Safety Standards Act that is held by the same prime contractor (as defined in § 5.2).",25,
Critical,Management,Yes,The prime contractor is responsible for compliance by any subcontractor or lower tier subcontractor with the clauses set forth in paragraphs 1. through 5.,25,
Critical,Legal,Yes,"It is unlawful for any person to discharge, demote, intimidate, threaten, restrain, coerce, blacklist, harass, or in any other manner discriminate against, or to cause any person to discharge, demote, intimidate, threaten, restrain, coerce, blacklist, harass, or in any other manner discriminate against, any worker or job applicant for: a. Notifying any contractor of any conduct which the worker reasonably believes constitutes a violation of the Contract Work Hours and Safety Standards Act (CWHSSA) or its implementing regulations in this part; b. Filing any complaint, initiating or causing to be initiated any proceeding, or otherwise asserting or seeking to assert on behalf of themselves or others any right or protection under CWHSSA or this part; c. Cooperating in any investigation or other compliance action, or testifying in any proceeding under CWHSSA or this part; or d. Informing any other person about their rights under CWHSSA or this part.",25,
Critical,Operational,Yes,"The contractor shall perform with its own organization contract work amounting to not less than 30 percent (or a greater percentage if specified elsewhere in the contract) of the total original contract price, excluding any specialty items designated by the contracting agency.",26,
Critical,Management,Yes,"The contractor shall furnish (a) a competent superintendent or supervisor who is employed by the firm, has full authority to direct performance of the work in accordance with the contract requirements, and is in charge of all construction operations (regardless of who performs the work) and (b) such other of its own organizational resources (supervision, management, and engineering services) as the contracting officer determines is necessary to assure the performance of the contract.",26,
Critical,Legal,Yes,"No portion of the contract shall be sublet, assigned or otherwise disposed of except with the written consent of the contracting officer, or authorized representative, and such consent when given shall not be construed to relieve the contractor of any responsibility for the fulfillment of the contract.",26,
Critical,Legal,Yes,Written consent will be given only after the contracting agency has assured that each subcontract is evidenced in writing and that it contains all pertinent provisions and requirements of the prime contract.,26,
Critical,Legal,Yes,"In the performance of this contract the contractor shall comply with all applicable Federal, State, and local laws governing safety, health, and sanitation (23 CFR Part 635).",27,
Critical,Technical,Yes,"The contractor shall provide all safeguards, safety devices and protective equipment and take any other needed actions as it determines, or as the contracting officer may determine, to be reasonably necessary to protect the life and health of employees on the job and the safety of the public and to protect property in connection with the performance of the work covered by the contract.",27,
Critical,Legal,Yes,"It is a condition of this contract, and shall be made a condition of each subcontract, which the contractor enters into pursuant to this contract, that the contractor and any subcontractor shall not permit any employee, in performance of the contract, to work in surroundings or under conditions which are unsanitary, hazardous or dangerous to his/her health or safety, as determined under construction safety and health standards (29 CFR Part 1926) promulgated by the Secretary of Labor, in accordance with Section 107 of the Contract Work Hours and Safety Standards Act (40 U.S.C. 3704).",27,
Critical,Legal,Yes,"By submission of this bid/proposal or the execution of this contract or subcontract, as appropriate, the bidder, proposer, Federal-aid construction contractor, subcontractor, supplier, or vendor agrees to comply with all applicable standards, orders or regulations issued pursuant to the Clean Air Act (42 U.S.C. 7401-7671q) and the Federal Water Pollution Control Act, as amended (33 U.S.C. 1251-1387).",29,
Critical,Legal,Yes,"By signing and submitting this proposal, the prospective first tier participant is providing the certification set out below.",29,
Critical,Legal,Yes,The prospective first tier participant shall provide immediate written notice to the contracting agency to whom this proposal is submitted if any time the prospective first tier participant learns that its certification was erroneous when submitted or has become erroneous by reason of changed circumstances.,29,
Critical,Legal,Yes,"The prospective first tier participant agrees by submitting this proposal that, should the proposed covered transaction be entered into, it shall not knowingly enter into any lower tier covered transaction with a person who is debarred, suspended, declared ineligible, or voluntarily excluded from participation in this covered transaction, unless authorized by the department or agency entering into this transaction.",29,
Critical,Legal,Yes,"The prospective first tier participant further agrees by submitting this proposal that it will include the clause titled ""Certification Regarding Debarment, Suspension, Ineligibility and Voluntary Exclusion-Lower Tier Covered Transactions,"" provided by the department or contracting agency, entering into this covered transaction, without modification, in all lower tier covered transactions and in all solicitations for lower tier covered transactions exceeding the $25,000 threshold.",29,
Critical,Legal,Yes,"A participant is responsible for ensuring that its principals are not suspended, debarred, or otherwise ineligible to participate in covered transactions.",29,
Critical,Legal,Yes,"The prospective first tier participant certifies to the best of its knowledge and belief, that it and its principals: (1) Are not presently debarred, suspended, proposed for debarment, declared ineligible, or voluntarily excluded from participating in covered transactions by any Federal department or agency, 2 CFR 180.335;.",30,
Critical,Legal,Yes,"Have not within a three-year period preceding this proposal been convicted of or had a civil judgment rendered against them for commission of fraud or a criminal offense in connection with obtaining, attempting to obtain, or performing a public (Federal, State, or local) transaction or contract under a public transaction; violation of Federal or State antitrust statutes or commission of embezzlement, theft, forgery, bribery, falsification or destruction of records, making false statements, or receiving stolen property, 2 CFR 180.800;",30,
Critical,Legal,Yes,"Are not presently indicted for or otherwise criminally or civilly charged by a governmental entity (Federal, State or local) with commission of any of the offenses enumerated in paragraph (a)(2) of this certification, 2 CFR 180.700 and 180.800; and",30,
Critical,Legal,Yes,"Have not within a three-year period preceding this application/proposal had one or more public transactions (Federal, State or local) terminated for cause or default. 2 CFR 180.335(d).",30,
Critical,Legal,Yes,Are not a corporation that has been convicted of a felony violation under any Federal law within the two-year period preceding this proposal (USDOT Order 4200.6 implementing appropriations act requirements); and,30,
Critical,Legal,Yes,"Are not a corporation with any unpaid Federal tax liability that has been assessed, for which all judicial and administrative remedies have been exhausted, or have lapsed, and that is not being paid in a timely manner pursuant to an agreement with the authority responsible for collecting the tax liability (USDOT Order 4200.6 implementing appropriations act requirements).",30,
Critical,Legal,Yes,The prospective lower tier participant shall provide immediate written notice to the person to which this proposal is submitted if at any time the prospective lower tier participant learns that its certification was erroneous by reason of changed circumstances.,31,
Critical,Legal,Yes,"The prospective lower tier participant agrees by submitting this proposal that, should the proposed covered transaction be entered into, it shall not knowingly enter into any lower tier covered transaction with a person who is debarred, suspended, declared ineligible, or voluntarily excluded from participation in this covered transaction, unless authorized by the department or agency with which this transaction originated.",31,
Critical,Legal,Yes,"The prospective lower tier participant further agrees by submitting this proposal that it will include this clause titled ""Certification Regarding Debarment, Suspension, Ineligibility and Voluntary Exclusion-Lower Tier Covered Transaction,"" without modification, in all lower tier covered transactions and in all solicitations for lower tier covered transactions exceeding the $25,000 threshold.",31,
